Nome;Documento;Idade;Curso;Modalidade
Andreia Rupp Vicentini Simon Apolinario;437.383.297-B;17;AR;B1
Guilhermina Ramirez Mendonca do Monte;368.843.479-A;15;EE;B2
Vanderson Bertoni Segall Harrison;923.706.278;15;ML;C1
Vitorio Yakoub;432.771.557-B;16;HS;B2
Marcela Fujimori;316.631.151-B;15;NN;B2
Gustavo Geraldo Doval;102.365.472;20;EE;C1
Fabiola Bertoncini Favero;236.387.504;19;FL;C1
Renato Caetano;990.976.955-B;16;CC;C1
Tina Figueiredo Bresciani;222.896.510;20;AC;B2
Zildo Fagundes Watanabe;810.306.261;17;NN;B1
Maria da Graca Rocha Giannini;913.433.822-C;20;MB;A1
Marco Aurelio Pereira Aquino Figueiredo Acceturi;732.181.299;16;FL;A1
Vitorio Mandell;618.760.261;15;FL;A2
Agata Caetano Nakamura Lacerda;688.693.276-B;18;CC;A1
Fabio Santos Burrel Maciel van der Graaf;647.407.477-X;15;SL;C2
Alice Maria Oliveira;69.753.528;15;EE;B1
Joao Marcos Simoes;311.131.316-A;18;FB;A2
Caetano Camillo;214.825.655;17;EA;C1
Carlota Felix;970.491.735;17;AC;B1
Luiz Augusto von Zuben;646.766.488-Z;16;EC;C2
Davi Cabral Levi;46.211.860-Z;15;FL;C1
Davi Bertoncini Felix;981.611.982;18;BE;A2
Cristiana Oliveira;289.604.887-Y;18;FL;A1
Vanderson dos Santos dos Afonsos von Zuben Pereira;192.511.674-A;16;NN;B2
Bruno Cirne;609.962.409;20;NH;B2
Maria Elisa van der Graaf Goncalvez Magalhaes;806.971.936;17;NH;C1
Fabiano Coutinho Camillo Silverio Bertoncini;713.873.472;17;EE;B1
Evandro Sampaio Ferro;672.654.284;20;FL;A2
Joana Luiza Carboni dos Santos;20.795.899-Y;18;HL;A2
Edson Agostinho;961.963.846-B;18;ML;B1
Humberto Girardi de Oliveira Bressan Rochester;289.801.632;17;MA;A1
Francisca Goldstein del Vecchio Magalhaes;44.788.493;19;NL;A2
Michel Romano;913.510.571-A;18;MA;C2
Joao Pedro Bergamasco Abravanel Fleury da Mata;635.255.898;17;EC;B1
Francisco dos Santos;642.436.307;18;HS;B1
Marcia Romano Marini;195.813.559;16;NN;C1
Aldo Andrade;150.556.158;20;HL;C1
Cristina Leite Pinto Juliani Bartolini;675.209.321;19;HS;B2
Pedro Gatti Pinto;890.886.647-B;18;NL;B1
Josefina Aquino Amaral di Giorgio;71.165.897-B;16;AC;A2
Vitorina Parente;318.170.454-Y;16;FB;C2
Nestor dos Reis;325.535.444;19;NL;B1
Vanda Borghetti Abravanel;786.354.523;18;EC;C1
Mauricio dos Reis;273.868.454;20;EQ;B2
Ernesto Lotufo Yamamoto Nakamura Conti;93.448.252;17;EE;B1
Valdivino Passarelli;965.980.528-A;20;MA;C1
Jose Luiz Bertoni dos Santos;801.793.940-C;18;NH;A2
Joao Luiz Almeida Nogueira Lacerda;802.799.292;18;AC;B1
Marco Antonio Favero;244.169.180-Z;17;EQ;B1
Vanda Canal;504.155.119-A;19;EM;C1
Vitorina Vicentini;115.231.197;15;EM;B1
Aurelio Boldrini;830.717.794;20;HL;C1
Ernesto Magalhaes;264.134.805;15;FL;B2
Heraldo Correa;201.580.822-Z;17;HL;C2
Joao Marcos Matheny;331.766.848;18;HL;A1
Luiz Silverio Mendonca;310.853.478-C;20;FB;A2
Joao Pedro Watanabe;762.364.905;17;MA;C1
Johnny Watanabe Nunes Ferraz;19.283.621-A;17;MB;A1
Lino Yakoub;705.651.833;18;NN;C2
Romao de Andrade;828.399.259-Y;20;MB;B1
Guilhermina Liberatori;591.115.486-X;18;NL;B2
Juliana Madeira Pinheiro Carvalhaes Romano;724.992.784-B;16;BE;B1
Georgina Felix Silva;621.374.603-Y;17;HL;B2
Andre Jurgensen Tucunduva;350.966.981-C;20;ML;B1
Olivio Donato;965.825.839-X;19;EM;A2
Ricardo dos Santos;212.449.463;17;CC;C1
Tina Santos;374.380.489-B;16;AC;A1
Alexandre del Vecchio;18.209.529-C;20;AC;C1
Maria da Graca Santana Cascudo;231.207.524-C;16;MA;B1
Maria Elisa Souza Almeida;470.266.852-X;17;EM;A2
Victor dos Santos Martins;643.211.952-B;19;FL;B1
Pedro Luiz Figueiredo;952.344.402-Z;15;NA;C2
Lana Faria Bergamasco Zeppelin;532.519.393-X;16;EC;B1
Heraldo Correa Faria;994.894.116-Z;19;EM;C2
Martin Correa Corracini;872.172.678-Y;15;HS;A1
Marco Rupini;776.464.724-Y;17;NA;C2
Mario Candido Canal;901.578.204;18;FL;B2
Aldo Prates;385.741.747-Y;20;MB;C1
Gustavo del Vecchio;183.500.938-A;17;EC;B1
Nilson Henriques Corsini Wander;6.631.510;15;BE;A1
Regina Agostinho Apolinario;431.338.464;15;MB;C2
Heraldo Goes;897.830.895-C;17;FL;B2
Volnei Pereira Bergamasco Ramirez Oliveira;379.939.358;18;HS;A2
Francisca Candido;626.674.663;17;MB;A2
Daniel Saboia Bresciani;558.894.423-B;15;BE;C1
Vitorina Takamoto Delmiro;0.913.105;15;CC;A2
Daniel dos Afonsos;967.578.191-Z;19;NN;C2
Victor Mendonca;215.949.546-B;18;NA;B1
Senor de Abreu Carvalhaes;583.471.810-Z;18;FB;A1
Aldo Takamoto Correa Carvalho Silva Pinto;412.364.863-Z;18;NH;B2
Maria da Graca Madeira Penha;920.913.385-Z;20;EE;C2
Rosiane Amaral Santos Yamamoto;815.379.837;17;HL;B1
Juliana Cadete Doval Tachelli;806.259.280;16;MA;A1
Martin Russeldorf Bartolini Mamede Passarelli;626.370.138;16;MB;A2
Fabiana Romancini;835.627.394;20;HS;B1
Francisco Tanaka Magalhaes;513.878.369;19;CC;A2
Flavia Romancini Tagliari Teixeira Passarelli;277.166.442-Z;20;BE;C2
Jaco Segall;177.619.209;18;EQ;B2
Osvaldo Levi Cabral;120.213.661;15;EA;B2
Lavinia Fujimori Americano Goes Mamede;531.416.523-A;18;AR;C2
Jose Pedro Mendonca;211.265.142;20;MA;B1
Edilene Amaral;714.785.329-A;20;FB;C1
Vera Lucia Soler Felix da Mata Soler;714.546.921-A;18;NN;B1
Mario Sergio Watanabe Lacerda;147.780.957-B;18;CC;A1
Thiago Bergamasco Matsui Simon;616.624.822-C;19;EA;B2
Martin Bresciani Bertoncini Tagliari;15.862.817-Y;17;EA;B1
Carla Soler Acceturi Tartini;16.815.962;17;EA;A2
Marco Abravanel Bergamasco;144.676.484-A;20;NH;C1
Thiago Silva Pinto;131.329.697-A;16;AR;C2
Maria da Graca Rupp;394.248.938-B;18;AR;C2
Ricarda Rupini Fagundes Auerbach Conti;251.685.788;18;NA;B1
Gladys Tachelli Starkey Fujimori;26.871.229;20;EA;B2
Mauricio Simoes;292.744.812-A;20;EM;B2
Michelle Caetano;423.931.193;17;SL;C2
Michel Santos Saboia;788.457.356;15;MB;C1
Lino Marini Simoes;289.734.130;20;EM;B1
Antonio Candido Passarelli;669.136.638;20;NH;A1
Mario Sergio Camara Agostinho;774.952.699;18;SL;B1
Flavio Wander Ramos Juliani;379.765.458;16;EA;C2
Martin Pinheiro Boldrini Delmiro Corracini;56.905.429-B;18;MC;B2
Lavinia Salazar dos Afonsos Bretzel;65.211.338-X;20;ML;A2
Alice Maria Candido Melo;532.704.510-A;20;EQ;C1
Rosana Rocha Junqueira;420.228.626;15;HS;B1
Daniela Pereira;848.811.990-X;17;EA;B1
Alice Maria Henriques Zeppelin Correa;678.588.829;17;NH;C2
Davi Segall Bergamasco Auerbach;79.303.874-Y;20;FB;B1
Osvaldo Dias Lacerda dos Santos;813.631.682;18;FB;A1
Renata Wander;388.609.502-X;20;MB;B2
George Berger Levi Romancini Starkey;897.219.461-B;20;FB;C1
Joana Portinari Mendonca Canal;319.185.703;17;SL;A2
Jose Osvaldo Apolinario;165.682.939-B;18;ML;B1
Jose Carlos Bergamo;461.240.853-B;16;MA;B2
Candido dos Santos Geraldo;771.321.185-Z;17;EQ;A2
Fabiano Bergamasco Candido;104.337.492-Z;20;AR;A2
Ariovaldo Prates Delmiro Tucunduva Almeida;97.483.252;15;MC;B2
Valdivino Modenesi Camillo Santos Henriques;98.479.116;18;EE;C2
Ivanildo Bartolini Geraldi Motoyama Favero;39.608.196-A;15;EM;A1
Maria Carolina Marchetti;6.111.797-B;17;NN;A2
Ramona Aquino;45.532.839-B;19;EQ;B1
Daniela Goncalves Goldstein;352.765.283;16;NA;B2
Renata Fagundes;415.366.282;15;AR;A1
Ariovaldo da Mata;358.897.632-Z;15;FB;C2
Fernando Oliveira Almeida;726.950.526-A;16;AR;A2
Aloisio Simon Bartolini Maciel;207.994.967-Z;16;NA;C2
Silverio von Zuben Mandell;206.603.486;19;MA;B2
Ana Renata Faria Camara Lotufo;455.717.550;17;CC;A1
Luiz Ignacio van der Graaf;100.592.600-Y;16;NH;A1
Vera Lucia Mantovani Teixeira Candido Kubota;872.693.122-X;15;HS;A2
Luiz Ignacio Vicentini;747.926.149-C;15;SL;A1
Geraldo da Mata;884.650.325;17;EA;B2
Rosiane de Andrade;475.811.837-C;16;EQ;B2
Senor Goncalves do Monte Pinheiro;421.239.600;15;FL;A2
Jose Renato Parente Bergamasco;605.522.918-X;17;NA;C2
Elisio Pinheiro;118.136.290;19;MC;A2
Ricarda Aquino;836.153.396-B;20;NL;C2
Geraldo Motoyama;268.268.759-Z;19;EM;B2
Aloisio Takamoto Fujimori;520.253.402-Y;18;NA;B2
Andre Bergamo dos Reis Goncalvez do Monte;238.245.822;15;NN;B1
Samuel Matheny;738.217.292;15;AR;A1
Ernesto Carvalhaes;630.212.319-A;17;EQ;A2
Angelo dos Santos Mantovani Fagundes Burrel;785.274.190-C;17;NH;C1
Dario Goes Saboia Silverio do Monte;737.770.325;17;HS;B1
Severino Corsini Berger Tanaka de Abreu;85.379.545-Y;15;AR;B2
Ramona Matsui Juliani;503.251.852;18;EC;A1
Isaac Colombo Bertoncini Xavier;882.829.229;19;AR;B1
Guilherme Giannini;773.861.652;18;AR;B2
Victor Ferro;49.581.265;15;EQ;A2
Thomaz dos Afonsos Pereira Tucunduva Carvalhaes;878.883.503-C;15;EC;C1
Edivaldo Russeldorf Kubota;315.299.399;15;NH;A2
Geraldo Levi;348.331.572;17;HL;B1
Samuel Bresciani;691.861.712-Z;17;FL;A2
Cristiana Tagliari;423.564.634;19;MC;B2
Silverio Cabral Bresciani;215.918.571;18;FB;B1
Maria Cecilia Sampaio Fonseca;90.853.302;18;ML;C1
Alberta Acceturi Ramirez;355.121.322;19;NA;C2
Joao Pedro Rochester;238.583.827;18;MA;C1
Marcela Oliveira Salazar;576.917.652;17;NN;A2
Luiz Augusto Motoyama;710.419.343-B;16;EM;A1
Daniel Bertoni Figueiredo Yakoub Henriques;995.682.200-Z;18;FB;B1
Cecilia van der Graaf;775.622.700-B;18;FL;C2
Alda Ferracini;594.331.869-X;20;AC;C1
Jose Maria Tachelli;109.823.744-X;20;FL;C1
Cristiana Simoes Simoes;730.399.132-Y;17;EA;C1
Johnny Nunes;694.777.565;17;EE;A1
Martin Andrade;139.507.483-B;19;EC;B2
Luiz Ignacio Archangelo;745.917.506;16;NL;B1
Jose Roberto Bergamasco Jurgensen Doval;375.982.416-X;17;EA;C2
Rafael Pereira Rocha;275.285.588-A;18;EQ;A2
Tina Tucunduva Auerbach Simon;520.129.453;15;MA;A2
Michel Dias Felix;308.833.641-X;16;NN;B2
Alice Maria Silva Pinto;901.588.974;19;EC;C2
Gustavo Segall;511.131.575;19;MB;A1
Lucas Amaral;93.967.308;20;FL;C1
Dario Amaral Souza;145.535.171-B;17;EA;B2
Alberto Santos Simon;928.214.998;15;FL;A1
Aloisio Faria;787.400.926-Z;18;SL;C1
Vanderson Passarelli;171.669.970-Y;15;NH;B1
Josefina Tucunduva;938.564.429-C;19;FL;C1
Daniel Bartolini;19.480.651-A;20;FL;A2
Alberta Magalhaes Romancini;919.566.578-A;16;CC;C1
Sinval Mandell Marini Dias Prates;745.889.955-B;19;EC;B2
Davi Berger;783.928.249;17;EA;C2
Vinicius Matsui Melo;204.539.254-Y;20;EM;A2
Izis Lacerda;615.506.368-B;15;NL;A2
Gustavo Maciel Mussel;948.447.772;16;EM;A2
Alice Maria Penha;209.557.252-X;16;EC;B1
Joana Luiza Felix Matsumoto;677.886.663;15;FB;A2
Zildo Tagliari;959.840.529;18;AC;A1
Cristina da Silva Cabral Fujimori Bertoni;338.224.207;15;AC;B2
Nilson Starkey;59.264.203-C;20;NL;B2
Jose Pedro Bertoncini;242.335.135-X;17;NA;A1
Aloisio Magalhaes Burrel;526.211.426;15;MA;B1
Maria Benta Segall Romano Delmiro Delmiro;650.358.844;20;HS;C1
Edilene Oliveira Parente;566.894.889;16;EC;C2
Marcela Amaral;68.439.642-C;16;NH;B2
Marco Antonio de Andrade;962.428.475;18;CC;B2
Tiago Bruni Nakamura;993.134.534-Z;19;NN;C2
Henrique Matsui;588.431.214-Z;15;AC;B1
Fabiana Goldstein;89.895.675-C;18;CC;A1
Albertina Motoyama;32.569.488-Y;16;MC;A2
Ernesto Yakoub Correa;987.376.773;16;EM;B1
Guilhermina Giannini;719.571.944-Y;20;MC;C1
Marcia Fonseca Vicentini Sampaio;574.858.649;20;NL;B2
Divina Marchetti Agostinho Mendonca Andrade;435.105.774-A;18;NL;C2
Ivanildo Penna;135.397.588-Y;20;AC;B1
Aloisio Rupini;677.441.307-B;19;MB;B2
Geraldo Pereira Favero;869.442.551-C;20;EA;B1
Alice Maria Russeldorf Mamede;186.906.633;15;AR;A2
Nestor Santana Lacerda Acceturi;126.815.832;20;FL;B2
Vera Lucia Bertoncini Ferracini;400.763.808;19;EE;A1
Felipe Portinari;564.498.774-A;15;NN;C2
Candido Agostinho Cunhado Mantovani;876.557.975;19;CC;B2
Pedro Luiz Bresciani Burrel Matheny Motoyama;492.119.726-Y;20;CC;A2
Jose Luiz Rupini Aquino;836.874.463-B;18;HS;C1
Dario Borghetti Zeppelin;313.824.474-C;18;HL;A1
Andre Faria;42.537.274;15;SL;A2
Antonio Candido Coutinho Santana;858.550.609;19;MA;B1
Davi Oliveira Yakoub Mantovani;773.415.944;16;BE;A2
Evair Romano Parente;258.883.316;16;AR;C1
Graca Tanaka Ferraz;985.307.935;15;FB;C2
Pedro Luiz de Andrade;521.730.496;20;NA;B2
Joao Marcos Magalhaes;894.137.312;15;HS;C1
Gladys Borghetti;200.319.570;17;MA;B2
Francisca Jurgensen Cadete Mamede;174.321.802-A;15;MB;A2
Jose Roberto Felix;383.527.603-C;18;MA;B1
Jose Maria Goldstein Silverio Liberatori Dias;268.791.753;15;AR;A2
Alda Ramirez;415.712.371-X;17;HL;B1
Fabiola de Andrade;592.155.381-Z;20;NA;B1
Candida Matsumoto;953.865.517;15;BE;C1
Mario Junqueira Ramos Romano Carvalho;694.380.871-Z;19;EA;B1
Alice Liberatori Lessa;257.914.288-C;19;EQ;C2
Regina Penna Vicentini;500.104.791-C;16;HS;A1
Nestor Geraldo;182.321.994;16;CC;B1
Sergio Melo;197.459.408;19;EA;C1
Valdivino Modenesi Fujimori Melo;620.939.205-C;17;EM;B1
Silverio Goes;850.507.738;17;EM;A1
Gustavo Pini;910.220.178-B;17;FB;C1
Vanda Cunhado;272.558.951-A;20;MB;C2
Zildo Fagundes Fagundes Kubota;699.653.124-C;15;EQ;B2
Alda Aquino Melo Mandell Tachelli;648.230.500-X;20;NH;C1
Maria Luiza Candido Marini;730.390.950;16;EA;B1
Marco Watanabe;609.294.125-A;17;EA;B1
Bruno Archangelo;685.386.545-B;18;ML;A2
Jose Roberto Fleury;722.282.728-B;15;EA;A1
Lavinia Oliveira;785.817.314-X;20;NL;B2
Ramon Marchetti Magalhaes Bertoni;88.398.975;16;NA;B2
Rodrigo Cirne Vicentini;871.165.826-B;19;AC;B1
Eulalia Figueiredo Ferraz;338.622.791;15;EA;C1
Joana Luiza Madeira Corracini Candido Oliveira;953.247.866;20;EE;A2
Jose Roberto Oliveira Maciel Colombo Sampaio;124.662.235;19;EQ;A1
Alice Maria Romancini Corsini Candido;622.259.602-Z;18;SL;B2
Francisca Brescianni;570.285.154;17;CC;A2
Flavio Simoes;752.297.297;17;NA;B1
Osvaldo do Monte;188.118.177;18;NN;A2
Ricardo di Giorgio;530.891.598-Z;18;MB;B2
Ivanildo Silva Mussel Magalhaes;576.453.460-C;15;MC;C2
Edvaldo Abravanel;453.370.141-C;16;FL;C2
Alice Ramirez Ramirez Levi Mandell;77.651.453;18;AC;C2
Aline Cadete Giannini Lessa Junqueira;692.513.316-X;18;HL;C2
Steve Saboia dos Reis;301.726.352-X;17;BE;A2
Humberto Xavier;137.554.344;17;FB;B2
Alice Mussel Modenesi Macedo Antonioni;14.749.815;17;EC;A1
Maria Cristina Bergamasco;961.624.690-B;15;NH;C1
Joana Luiza Simon Amaral;351.731.972-B;20;SL;C2
Jose Roberto Coutinho da Silva Goldstein;103.607.279;19;NA;B2
Leandro Tucunduva Leite Conti Guedes;966.696.787;18;HS;A1
Gladys Faria;336.196.140;20;BE;A2
Lara Portinari;312.259.333-X;18;SL;B2
Francisco Camara;900.552.234-B;18;EA;C2
Marta Corracini;854.895.170-X;19;NA;C2
Daniel Mandell Madeira Fonseca Archangelo;360.264.504-Y;16;AR;C2
Renata Santana Magalhaes;192.283.864;17;MA;B1
Osvaldo de Oliveira;838.717.335;16;ML;C2
Guilhermina Apolinario;450.219.973;20;BE;A1
Lavinia Amaral Guedes Almeida Goncalvez;31.647.881;16;ML;C1
Lara Romancini;131.905.268;20;NN;C1
Tomas Lacerda Pinheiro Boldrini;897.938.891;16;MA;C2
Alexandre Marcondes;175.490.392;17;CC;A1
Danilo Felix;572.195.906-Z;19;EQ;B1
Felipe Amaral;685.122.763;20;EC;B1
Rosana Kubota;926.962.500-Z;16;HS;C1
Alice Geraldo Brescianni;556.870.846;15;NL;C1
Pedro Caetano Marini Rocha Silva;521.490.422;17;ML;A2
Mateus Simon Fleury;929.442.465-Y;20;EE;A2
Daniel Donato;320.405.161-Y;18;MB;B1
Marco Rocha;942.406.834;17;HL;A2
Lino Tanaka Conti Geraldo;41.534.294;18;AC;C1
Gladys Oliveira;594.658.618;15;EQ;B2
Tina Zeppelin;8.442.307;15;BE;B1
Mateus Silva Pinto;348.238.457;18;EE;C2
Edvaldo Gatti Maciel di Giorgio;804.508.325;17;NN;C1
Vitorio de Andrade Lotufo;694.293.285-Y;20;EE;B1
Adalberto do Monte Modenesi Kubota Fagundes;639.654.889-Y;17;NA;B2
Elisa Bergamo;985.422.947-Z;16;EM;B2
Evair Silverio Brescianni Santini Silverio;66.521.971;19;MB;B1
Samuel Tucunduva Mantovani;412.194.989-Z;16;NN;A2
Fabiana Matsui Antonioni;123.101.883;18;ML;B1
Antonio Candido Rocha;322.715.333-X;16;EC;B1
Alice Modenesi Camara;892.282.180-C;15;ML;B2
Jorge Levi Motoyama Sampaio Apolinario;393.448.996;16;CC;C2
Edivaldo Carvalho;923.432.889-X;17;AR;A1
Silverio Vicentini Santos;748.501.386-Z;20;AC;C2
Joao Pedro Ramos;40.599.351-Y;15;FL;C1
Cecilia Pereira Donato;439.610.686;20;FB;C2
Cristiana Santini;576.787.780-Z;16;AC;C1
Vanderson Ramos;358.189.474;15;EE;C1
Dario Modenesi Matsumoto;855.473.303;16;SL;B2
Adoniram Cascudo;113.274.536-Y;16;FB;C2
Alice Andrade;83.430.831;17;CC;A1
Alice Teixeira Delmiro;737.809.557-Z;15;HS;B2
Sinval Mendonca;793.562.655;15;ML;C1
Mayanna Salazar;393.575.553-Y;16;CC;A2
Caetano Colombo Rocha Rocha;979.284.602-B;17;NL;A1
Vitor de Oliveira;358.383.484;19;AR;B1
Alda Carvalho;601.265.972-Z;17;EC;C2
Martin Borghetti;686.619.757;15;EQ;C1
Willian Oliveira;113.535.449-B;19;FL;B2
Antonio Candido Pini;221.902.466;15;BE;C1
Silverio Andrade Santos Felix Yamamoto;345.812.409;15;FB;A2
Angela Mamede;915.790.280-Y;15;EQ;B2
Ariovaldo Oliveira;514.977.689-B;17;EA;C1
Marco Pereira Juliani;290.392.296-Z;16;NA;A2
Marco Goncalvez Bertoncini;86.938.342-X;20;CC;B2
Bertha Mandell;364.111.984;16;HS;C2
Alice Correia Faria Yamamoto;890.142.478;17;ML;A1
Elisa Abravanel;114.211.263-Z;18;EE;C1
Thiago Correa;406.245.206-C;17;HS;C2
Maria Leticia Favero Cabral Fujimori Ferro;673.984.555;17;EQ;A2
Isaac Boldrini;118.397.189-A;20;FL;A1
Luiz Gatti Carmignani;891.305.433;18;HL;B1
Patrick Rupini;516.882.424-B;18;CC;A2
Edvaldo Bergamo;290.393.974;17;NL;A2
Maria Cristina Pini;508.408.507;18;BE;A1
Vanda do Monte;529.289.310;15;MB;B2
Pedro Luiz Donato Saboia Andrade;503.747.865-A;17;NA;C2
Jaco Silva Geraldi;272.420.601;16;MA;C1
Rosiane Romancini;89.873.277-Y;16;AC;A2
Joao Carlos Soler;55.930.829-Z;15;AC;B1
Giordano Salazar;679.725.219-C;15;ML;A1
Maura Goncalves;672.666.703-Z;15;ML;B2
Flavia Carvalhaes;513.545.939;15;MA;C1
Olivio van der Graaf Favero Passarelli Bertoncini;34.919.374-Z;20;MC;B1
Antonio Candido Gatti;794.948.298-C;15;NN;B1
Senor Henriques;610.509.188-B;16;NL;B1
Joana Mangini Tucunduva;638.270.744-B;16;EC;C2
Jose Roberto Pini Camillo Mandell Doval;705.996.896-Z;16;HS;B1
Vitoria Bruni Carvalho Lotufo;72.976.169-X;20;NL;B2
Divina Penna;300.223.161;17;EE;B2
Bertha Aquino Pinheiro Matsui;204.748.515;20;MA;A1
Flavia Leite Modenesi Dias Bressan;98.374.753-X;18;CC;B2
Mauricio Acceturi Marcondes Aquino;341.920.144-Y;15;MC;A2
Jose Maria Nunes;245.306.479;15;NN;B1
Regina Colombo Rocha Brancaleone;837.957.818;20;EM;B1
Candida Mangini Silverio Harrison;531.857.307;16;BE;A1
Nestor da Mata Silva da Silva;960.479.699-Z;19;MB;C1
Joao Pedro Burrel;608.523.227-B;16;HS;B1
Angelo Doval;780.968.281-Y;17;FL;C1
Joana Takamoto;660.115.316;17;EC;C2
Aldo da Mata Rochester Santini Favero;177.773.718;15;NL;B1
Luiz Augusto Mantovani;632.474.948-X;17;NH;C2
Maura Prates Juliani;109.438.839-Z;15;SL;B1
Marco Antonio Coutinho;131.316.203-C;16;ML;B2
Juliano Henriques Carvalho Camillo;123.976.142-B;15;EA;C1
Maura Zeppelin Magalhaes Burrel Cirne;896.482.802-Y;17;NN;A2
Elisa Bruni Bartolini do Monte;24.605.426-Z;17;MA;A1
Renata Canal Wander Amaral Amaral;301.355.350;20;EM;B2
Edilene Maciel;634.835.598;16;NA;B2
Renato Boldrini;754.160.709-C;19;AR;A1
Caetano Carvalhaes Boldrini;795.967.453-C;19;EQ;B1
Volnei Carvalhaes Colombo Pedrosa;517.944.230-B;19;AR;A1
Vitor Conti Romano Santos;83.628.445-Z;17;EQ;B2
Ernesto Lotufo von Zuben;850.447.224-Z;18;NH;A2
Maura Amaral;92.883.899;17;HL;C1
Isabel Kubota Colombo von Zuben;541.802.772;17;EM;B1
Carlos Jose Juliani;453.594.422;17;NL;C1
Candida Cirne Amaral Doval Penna;580.559.647-A;19;NA;A1
Isaac Santos;487.728.471-Y;17;NL;A2
Johnny Takamoto;55.533.992-Y;18;MB;A1
Elisio Kubota;254.912.661-X;19;MB;A2
Lino Harrison Berger;881.881.441;16;NL;A1
Luiz Camara Silva Pinto Pinto Marini;281.409.475-X;18;HL;B1
Humberto da Mata Silva Pinto Pini;953.260.966;16;EQ;C1
Thiago Geraldi;42.680.895;16;MA;A2
Agata Carboni;45.523.719;19;ML;C2
Thomaz Santini;24.549.620;16;NH;C1
Elisio Lotufo Moreira;295.136.873;18;NA;C2
Evandro Ferro;848.668.368;19;AC;A1
Rafaela Agostinho del Vecchio Amaral;894.858.310;19;MA;A2
Divina Carvalho Matheny Bretzel;49.822.289-Z;16;EE;B1
Mario Sergio Fleury Harrison Rochester;604.941.370-A;17;EE;C2
Alice Girardi Magalhaes Goes;52.208.576;18;EA;C2
Gladys Lotufo;191.365.281-Z;15;FL;C2
Jose Luiz Takamoto Marcondes;99.840.458;20;HS;B1
Tomas Souza;203.291.947;18;HL;A1
Jose Osvaldo Russeldorf Lessa;831.655.907;20;EE;A2
Senor Palma;358.199.479-X;18;HS;B1
Regina Nunes Cirne;502.318.322;17;NH;A1
Angelo Xavier Martins;556.971.338;17;FL;B1
Angelo dos Reis dos Santos Simon;835.793.789;15;HS;B1
Cristiana Carboni Aquino;702.667.269;17;NL;B1
Willian Almeida Almeida Takamoto;304.170.519-B;20;NA;B2
Leandro Silverio Tachelli Salazar;2.666.122-Y;20;MC;B2
Augusto Parente;337.364.238;15;EE;B2
Edivaldo Geraldo;909.267.208;17;FL;A1
Cristian do Monte Motoyama;377.506.346-Y;18;MC;C2
Edvaldo Levi;382.698.905-X;17;NH;C1
Maura Pinheiro Donato;311.675.825-X;15;HL;B1
Candido Mandell;525.767.737;15;EC;B2
Josefina de Oliveira Tachelli;318.893.546-B;17;NH;A2
Luiz Antonio Tanaka Junqueira Brescianni Takamoto;282.768.623;16;EC;A2
Jose Luiz dos Afonsos Andrade;206.769.999-B;20;NN;B1
Joao Carlos Junqueira Tucunduva Jurgensen Soler;996.867.822-A;18;EQ;A2
Patrick Mendonca;632.632.641;16;EA;A2
Vitoria Santana;568.653.866;15;ML;A2
Rosana Doval Aquino Lessa;651.348.133;20;HL;C1
Evandro Cadete Caetano Nunes Cirne;783.961.551-Y;18;NH;C1
Leandro Carboni;285.932.982-X;17;EA;C1
Ramon Sampaio;832.827.532;18;EM;A1
Luiz Antonio Pinheiro Melo;727.606.516-B;19;FB;C2
Rosana Levi Marcondes;361.314.545-Y;15;FB;C1
Maria Elisa Pereira;832.388.395;16;EE;C2
Lorella Silva Pinto Tucunduva Bressan Geraldo;52.160.136;19;CC;C2
Victor Romano;177.577.970-X;19;NL;A2
Ernesto Romano Bretzel Tartini;653.932.602;19;EM;C2
Guilhermina Martins;555.736.798-X;20;NL;C2
Jose Oliveira Bertoncini;411.683.657;16;EQ;B1
Romao Mendonca Bressan;792.109.941;16;EC;B2
Adoniram Madeira Lacerda;785.409.747;17;SL;C2
Marcela Prates Dias;461.213.425;17;SL;B2
Maria da Graca Wander Correa Mussel Pedrosa;718.188.681;20;NH;C1
Aloisio Apolinario;825.334.708;20;MC;C2
Lino de Oliveira;376.718.254-X;18;HS;B1
Lana Goncalvez Matheny;872.686.416-X;17;AC;B1
Isabela Guedes;956.593.137-B;18;MC;C2
Flavia Marini;28.882.393-C;18;MC;B1
Rosiane Pinheiro;461.226.968-Z;20;FL;B1
Luiz Ignacio Mantovani;100.590.859-Z;19;NA;C2
Ariovaldo Juliani Zeppelin de Oliveira Acceturi;80.642.958-X;18;FB;B2
Cecilia Burrel Macedo;656.826.390;19;EM;B2
Rodrigo Bretzel;131.593.877;20;FL;C1
Olivio Giannini Agostinho Ferracini Penna;601.831.300-Z;19;HL;C1
Volnei Pinheiro Macedo;556.237.638-Y;15;ML;B1
Ivanildo Carmignani Archangelo Almeida;865.977.192;15;HS;B2
Marcos Bergamasco Macedo;897.199.504-C;18;AR;B1
Maria da Graca Romancini Tucunduva Rupini Simoes;191.799.127-A;16;FB;A1
Elisio Borghetti Wander;5.403.302-A;18;EE;C2
Joao Pedro Tartini Ramirez Almeida;159.251.133-A;18;EE;B1
Mario Sergio Matsumoto;959.576.579-Y;20;AC;B2
Maria da Graca Guedes Bergamasco Harrison;210.536.817-C;20;EE;C2
Gustavo Starkey;203.867.537;16;HS;B2
Thiago del Vecchio;261.340.480-Y;20;AC;C1
